study_word,test,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
vase,_a_e,42.7177141,babe,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
tiger,t_g_r,52.7147612,tiger,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
book,_oo_,62.727984,book,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
cushion,c_s_h_o_n,72.7247411,cushion,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
piano,_ia_n_,82.7210776,piaono,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
babe,_ea_o_,92.7175023,peacok,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
tiger,c_m_r_,102.7143392,camera,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
book,_p_a_d_,112.7277171,tppaede,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
,_o_s_,122.7242138,bossy,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
piaono,o_a_n_e,132.7207959,oaanne,[],[],[],[],[],[],[],392276,1,2023-10-05_21h12.02.840,word_primming,2023.2.2,59.8874834,2023-10-05 21h12.09.463991 +0530
